experiment_a,experiment_b,delta,p_value,significant_holm
E201,E209,0.0,,False
E201,E202,0.001270000040542446,0.9016181296334215,False
E201,E206,0.005540661286461163,0.8125,False
E201,E211,0.013491543449834581,0.4704980973789611,False
E201,E210,0.013491543449834581,0.4704980973789611,False
E201,E218,0.013491543449834581,0.4704980973789611,False
E201,E110,0.013551449380820318,0.3116905734774594,False
E209,E202,0.001270000040542446,0.9016181296334215,False
E209,E206,0.005540661286461163,0.8125,False
E209,E211,0.013491543449834581,0.4704980973789611,False
E209,E210,0.013491543449834581,0.4704980973789611,False
E209,E218,0.013491543449834581,0.4704980973789611,False
E209,E110,0.013551449380820318,0.3116905734774594,False
E202,E206,0.004270661245918716,0.7981725337450951,False
E202,E211,0.012221543409292135,0.32611698369251024,False
E202,E210,0.012221543409292135,0.32611698369251024,False
E202,E218,0.012221543409292135,0.32611698369251024,False
E202,E110,0.012281449340277872,0.5464793630607023,False
E206,E211,0.007950882163373418,0.7074370378415916,False
E206,E210,0.007950882163373418,0.7074370378415916,False
E206,E218,0.007950882163373418,0.7074370378415916,False
E206,E110,0.008010788094359155,0.8153728130245893,False
E211,E210,0.0,,False
E211,E218,0.0,,False
E211,E110,5.9905930985737486e-05,0.9977324981006391,False
E210,E218,0.0,,False
E210,E110,5.9905930985737486e-05,0.9977324981006391,False
E218,E110,5.9905930985737486e-05,0.9977324981006391,False
